ano,regiao,uf_sigla,municipio,categoria,nivel_atencao,numero_prof_padronizado
2008,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Técnico ou Auxiliar de Enfermagem,Terciária,33.25
2008,Região Centro-Oeste,GO,Valparaíso de Goiás,Psicólogo,Secundária,0.0
2015,Região Centro-Oeste,GO,Águas Lindas de Goiás,Fonoaudiólogo,Primária,0.75
2015,Região Centro-Oeste,GO,Cristalina,Técnico ou Auxiliar de Enfermagem,Secundária,8.25
2015,Região Centro-Oeste,GO,Novo Gama,Farmacêutico,OUTROS/MÚLTIPLOS,0.5
2022,Região Centro-Oeste,GO,Cidade Ocidental,Biomédico,Secundária,1.75
2022,Região Centro-Oeste,GO,Novo Gama,Farmacêutico,Secundária,6.0
2022,Região Centro-Oeste,GO,Valparaíso de Goiás,Técnico em Radiologia e Imagenologia,Secundária,23.45
2020,Região Centro-Oeste,GO,Cristalina,Técnico ou Auxiliar de Saúde Bucal,Secundária,7.0
2020,Região Centro-Oeste,GO,Cristalina,Enfermeiro,OUTROS/MÚLTIPLOS,10.0
2024,Região Centro-Oeste,GO,Águas Lindas de Goiás,Enfermeiro,Secundária,87.075
2024,Região Centro-Oeste,GO,Luziânia,Fonoaudiólogo,Secundária,5.5
2012,Região Centro-Oeste,GO,Luziânia,Assistente Social,Terciária,1.0
2018,Região Centro-Oeste,GO,Águas Lindas de Goiás,Assistente Social,Terciária,0.25
2018,Região Centro-Oeste,GO,Águas Lindas de Goiás,Farmacêutico,OUTROS/MÚLTIPLOS,1.0
2018,Região Centro-Oeste,GO,Luziânia,Assistente Social,OUTROS/MÚLTIPLOS,3.5
2018,Região Centro-Oeste,GO,Valparaíso de Goiás,Cirurgião Dentista,Secundária,26.4
2009,Região Centro-Oeste,GO,Luziânia,Assistente Social,Terciária,0.5
2009,Região Centro-Oeste,GO,Luziânia,Técnico ou Auxiliar de Saúde Bucal,Primária,3.0
2009,Região Centro-Oeste,GO,Valparaíso de Goiás,Enfermeiro,Terciária,0.75
2017,Região Centro-Oeste,GO,Cristalina,Cirurgião Dentista,Secundária,15.55
2014,Região Centro-Oeste,GO,Águas Lindas de Goiás,Nutricionista,Secundária,1.25
2014,Região Centro-Oeste,GO,Cristalina,Enfermeiro,Secundária,2.65
2014,Região Centro-Oeste,GO,Luziânia,Médico,Terciária,50.925
2014,Região Centro-Oeste,GO,Novo Gama,Biólogo,Primária,0.5
2014,Região Centro-Oeste,GO,Valparaíso de Goiás,Farmacêutico,Terciária,3.5
2021,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico ou Auxiliar de Enfermagem,Terciária,28.25
2021,Região Centro-Oeste,GO,Cidade Ocidental,Técnico ou Auxiliar de Prótese Dentária,Secundária,0.5
2019,Região Centro-Oeste,GO,Novo Gama,Enfermeiro,Primária,28.0
2026,Região Centro-Oeste,GO,Novo Gama,Assistente Social,OUTROS/MÚLTIPLOS,0.75
2026,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Farmacêutico,OUTROS/MÚLTIPLOS,11.4
2011,Região Centro-Oeste,GO,Cristalina,Técnico ou Auxiliar de Enfermagem,Terciária,40.05
2023,Região Centro-Oeste,GO,Cidade Ocidental,Técnico em Radiologia e Imagenologia,OUTROS/MÚLTIPLOS,4.2
2023,Região Centro-Oeste,GO,Luziânia,Psicólogo,Terciária,0.6
2016,Região Centro-Oeste,GO,Águas Lindas de Goiás,Enfermeiro,Secundária,9.35
2016,Região Centro-Oeste,GO,Cristalina,Nutricionista,Terciária,1.5
2010,Região Centro-Oeste,GO,Cidade Ocidental,Técnico ou Auxiliar de Enfermagem,Terciária,27.2
